,Player,Span,Mat,NO,Runs,HS,Ave_Bat,BF,SR_Bat,100,50,0,Balls,Runs_Given,Wkts,Ave_Bowl,Econ,SR_Bowl,4,5,Dis,Ct,St,Ct Wk,Ct Fi
0,SR Tendulkar (INDIA),1989-2012,439,36,17908,200,44.77,20772,86.21,48,94,19,7874,6685,152,43.98,5.09,51.8,4,2,134,134,0,0,134
1,KC Sangakkara (Asia/ICC/SL),2000-2015,386,39,13942,169,42.12,17618,79.13,25,90,15,0,0,0,0.0,0.0,0.0,0,0,494,395,99,376,19
2,RT Ponting (AUS/ICC),1995-2012,363,38,13470,164,42.49,16727,80.52,30,81,19,150,104,3,34.66,4.16,50.0,0,0,157,157,0,0,157
3,ST Jayasuriya (Asia/SL),1989-2011,429,15,12987,189,31.83,14252,91.12,27,64,33,14748,11758,322,36.51,4.78,45.8,8,4,122,122,0,0,122
4,DPMD Jayawardene (Asia/SL),1998-2015,430,36,12429,144,33.5,15719,79.06,19,75,27,593,563,8,70.37,5.69,74.1,0,0,215,215,0,0,215
5,V Kohli (INDIA),2008-2022,249,37,12195,183,58.62,13084,93.2,43,63,14,623,643,4,160.75,6.19,155.7,0,0,134,134,0,0,134
6,Inzamam-ul-Haq (Asia/PAK),1991-2007,369,53,11696,137,40.33,15734,74.33,10,83,17,58,64,3,21.33,6.62,19.3,0,0,113,113,0,0,113
7,JH Kallis (Afr/ICC/SA),1996-2014,318,48,11479,139,44.49,15678,73.21,17,85,16,10624,8549,268,31.89,4.82,39.6,2,2,130,130,0,0,130
8,SC Ganguly (Asia/INDIA),1992-2007,295,22,11293,183,41.67,15251,74.04,22,72,14,4514,3810,98,38.87,5.06,46.0,1,2,96,96,0,0,96
9,MS Dhoni (Asia/INDIA),2004-2019,335,81,10583,183,50.15,12083,87.58,10,72,10,36,31,1,31.0,5.16,36.0,0,0,434,313,121,313,0
10,R Dravid (Asia/ICC/INDIA),1996-2011,327,39,10578,153,39.17,14837,71.29,12,80,13,186,170,4,42.5,5.48,46.5,0,0,202,188,14,70,118
11,CH Gayle (ICC/WI),1999-2019,281,15,10284,215,38.66,11675,88.08,25,54,23,7191,5772,160,36.07,4.81,44.9,3,1,114,114,0,0,114
12,BC Lara (ICC/WI),1990-2007,286,32,10157,169,40.79,12730,79.78,19,62,16,49,61,4,15.25,7.46,12.2,0,0,119,119,0,0,119
13,TM Dilshan (SL),1999-2016,314,39,10023,161,39.15,11603,86.38,22,45,11,5862,4751,106,44.82,4.86,55.3,3,0,123,122,1,5,117
14,Mohammad Yousuf (Asia/PAK),1998-2010,283,40,9578,141,41.64,12741,75.17,15,63,15,2,1,1,1.0,3.0,2.0,0,0,58,58,0,0,58
15,AC Gilchrist (AUS/ICC),1996-2008,280,11,9568,172,36.51,9861,97.02,16,55,17,0,0,0,0.0,0.0,0.0,0,0,467,412,55,412,0
16,AB de Villiers (Afr/SA),2005-2018,221,38,9429,176,53.27,9317,101.2,24,53,7,192,202,7,28.85,6.31,27.4,0,0,180,175,5,93,82
17,RG Sharma (INDIA),2007-2021,220,30,9167,264,49.28,10295,89.04,29,43,12,593,515,8,64.37,5.21,74.1,0,0,76,76,0,0,76
18,M Azharuddin (INDIA),1985-2000,320,51,9143,153,36.57,12401,73.72,7,55,9,552,479,12,39.91,5.2,46.0,0,0,154,154,0,0,154
19,PA de Silva (SL),1984-2003,295,29,9143,145,35.3,11290,80.98,11,63,17,5052,4089,101,40.48,4.85,50.0,2,0,94,94,0,0,94
20,Saeed Anwar (PAK),1989-2003,241,17,8679,194,39.09,10763,80.63,20,42,14,242,191,6,31.83,4.73,40.3,0,0,42,42,0,0,42
21,Yuvraj Singh (Asia/INDIA),2000-2017,289,37,8624,150,36.85,9829,87.74,14,52,16,5006,4254,110,38.67,5.09,45.5,2,1,92,92,0,0,92
22,S Chanderpaul (WI),1994-2011,255,38,8606,150,41.77,12132,70.93,11,58,6,740,636,14,45.42,5.15,52.8,0,0,72,72,0,0,72
23,DL Haynes (WI),1978-1994,234,27,8563,152,41.36,13534,63.27,17,56,13,30,24,0,0.0,4.8,0.0,0,0,59,59,0,0,59
24,ME Waugh (AUS),1988-2002,242,19,8455,173,39.14,10985,76.96,18,50,16,3657,2920,85,34.35,4.79,43.0,1,1,108,108,0,0,108
25,MS Atapattu (SL),1990-2007,261,31,8426,132,37.78,12450,67.67,11,59,13,51,41,0,0.0,4.82,0.0,0,0,70,70,0,0,70
26,LRPL Taylor (NZ),2006-2021,218,36,8394,181,48.52,10065,83.39,21,50,9,42,35,0,0.0,5.0,0.0,0,0,135,135,0,0,135
27,HM Amla (SA),2008-2019,175,12,8079,159,50.18,9128,88.5,27,39,4,0,0,0,0.0,0.0,0.0,0,0,87,87,0,0,87
28,V Sehwag (Asia/ICC/INDIA),1999-2013,237,7,8074,219,35.41,7743,104.27,15,37,14,4188,3712,95,39.07,5.31,44.0,1,0,88,88,0,0,88
29,Shahid Afridi (Asia/ICC/PAK),1996-2015,389,26,8001,124,23.74,6824,117.24,6,39,29,17603,13589,392,34.66,4.63,44.9,4,9,126,126,0,0,126
30,SP Fleming (ICC/NZ),1994-2007,265,20,7959,134,32.88,11129,71.51,8,49,16,29,28,1,28.0,5.79,29.0,0,0,132,132,0,0,132
31,HH Gibbs (SA),1996-2010,241,14,7915,175,35.81,9520,83.14,20,37,22,0,0,0,0.0,0.0,0.0,0,0,105,105,0,0,105
32,MJ Clarke (AUS),2003-2015,232,43,7661,117,44.8,9723,78.79,7,57,10,2567,2137,57,37.49,4.99,45.0,1,1,103,103,0,0,103
33,EJG Morgan (ENG/IRE),2006-2021,235,31,7645,148,39.4,8367,91.37,14,47,16,0,0,0,0.0,0.0,0.0,0,0,87,87,0,3,84
34,SR Waugh (AUS),1986-2002,321,57,7544,120,32.8,9937,75.91,3,45,15,8823,6729,194,34.68,4.57,45.4,3,0,108,108,0,0,108
35,Tamim Iqbal (BAN),2007-2021,215,8,7507,158,36.26,9551,78.59,14,49,19,6,13,0,0.0,13.0,0.0,0,0,61,61,0,0,61
36,Shoaib Malik (PAK),1999-2019,281,40,7423,143,35.01,9004,82.44,9,44,15,7958,6192,158,39.18,4.66,50.3,1,0,96,96,0,0,96
37,A Ranatunga (SL),1982-1999,256,44,7396,131,35.9,9506,77.8,4,49,17,4584,3639,76,47.88,4.76,60.3,1,0,61,61,0,0,61
38,Javed Miandad (PAK),1975-1996,226,41,7336,119,42.65,10879,67.43,8,50,8,436,297,7,42.42,4.08,62.2,0,0,73,71,2,1,70
39,Younis Khan (PAK),2000-2015,258,21,7164,144,31.28,9501,75.4,7,48,22,284,288,3,96.0,6.08,94.6,0,0,135,135,0,5,130
40,Saleem Malik (PAK),1982-1999,276,37,7128,102,33.62,9320,76.48,5,47,18,3505,2959,89,33.24,5.06,39.3,1,1,81,81,0,1,80
41,GC Smith (SA),2002-2013,190,10,6962,141,38.67,8587,81.07,10,47,7,1008,934,18,51.88,5.55,56.0,0,0,105,105,0,0,105
42,NJ Astle (NZ),1995-2007,211,14,6922,145,35.13,9525,72.67,16,40,19,4694,3695,96,38.48,4.72,48.8,1,0,81,81,0,0,81
43,MG Bevan (AUS),1994-2004,229,67,6856,108,53.56,9264,74.0,6,45,5,1966,1655,36,45.97,5.05,54.6,0,0,69,69,0,0,69
44,A Flower (ZIM),1992-2003,207,14,6778,145,35.48,9086,74.59,4,55,12,30,23,0,0.0,4.6,0.0,0,0,171,140,31,132,8
45,WU Tharanga (Asia/SL),2005-2019,220,17,6754,174,33.93,8891,75.96,15,35,16,0,0,0,0.0,0.0,0.0,0,0,49,49,0,0,49
46,G Kirsten (SA),1993-2003,181,17,6715,188,40.94,9323,72.02,13,45,11,30,23,0,0.0,4.6,0.0,0,0,60,59,1,1,58
47,IVA Richards (WI),1975-1991,184,24,6689,189,47.1,7409,90.28,11,45,7,5644,4228,118,35.83,4.49,47.8,1,2,100,100,0,0,100
48,BRM Taylor (ZIM),2004-2021,203,14,6664,145,35.44,8700,76.59,11,39,15,396,406,9,45.11,6.15,44.0,0,0,159,130,29,100,30
49,MJ Guptill (NZ),2009-2021,177,16,6614,237,41.08,7600,87.02,15,35,15,109,98,4,24.5,5.39,27.2,0,0,93,93,0,0,93
50,Mushfiqur Rahim (BAN),2006-2021,222,36,6559,144,37.48,8288,79.13,8,40,10,0,0,0,0.0,0.0,0.0,0,0,231,185,46,183,2
51,Ijaz Ahmed (PAK),1986-2000,248,28,6558,139,32.46,8148,80.48,10,37,13,631,471,5,94.2,4.47,126.2,0,0,90,90,0,0,90
52,Shakib Al Hasan (BAN),2006-2021,211,29,6557,134,38.12,7971,82.26,9,49,11,10899,8069,274,29.44,4.44,39.7,9,3,52,52,0,0,52
53,GW Flower (ZIM),1992-2010,213,17,6515,142,33.58,9630,67.65,6,40,18,5288,4092,104,39.34,4.64,50.8,2,0,82,82,0,0,82
54,Mohammad Hafeez (PAK),2003-2019,213,13,6493,140,32.79,8481,76.55,11,37,18,7661,5357,138,38.81,4.19,55.5,1,0,84,84,0,0,84
55,AR Border (AUS),1979-1994,262,38,6463,127,30.77,9030,71.57,3,39,11,2649,2058,71,28.98,4.66,37.3,0,0,126,126,0,0,126
56,S Dhawan (INDIA),2010-2022,143,7,6165,143,45.66,6587,93.59,17,34,5,0,0,0,0.0,0.0,0.0,0,0,70,70,0,0,70
57,RB Richardson (WI),1983-1996,219,30,6163,122,33.49,9641,63.92,5,43,8,58,46,1,46.0,4.75,58.0,0,0,75,75,0,0,75
58,JE Root (ENG),2013-2021,144,21,6061,133,51.36,6966,87.0,16,35,5,1534,1477,25,59.08,5.77,61.3,0,0,76,76,0,0,76
59,KS Williamson (NZ),2010-2020,146,13,6043,148,47.21,7405,81.6,12,39,5,1371,1237,36,34.36,5.41,38.0,1,0,60,60,0,0,60
60,DM Jones (AUS),1984-1994,162,25,6020,145,44.59,8299,72.53,7,46,6,106,81,3,27.0,4.58,35.3,0,0,54,54,0,0,54
61,BB McCullum (NZ),2002-2016,245,27,5962,166,30.41,6181,96.45,5,31,20,0,0,0,0.0,0.0,0.0,0,0,268,253,15,220,33
62,ML Hayden (AUS/ICC),1993-2008,153,13,5943,181,44.02,7515,79.08,10,35,9,6,18,0,0.0,18.0,0.0,0,0,67,67,0,0,67
63,DC Boon (AUS),1984-1995,178,16,5938,122,37.11,9117,65.13,5,37,6,82,86,0,0.0,6.29,0.0,0,0,45,45,0,0,45
64,JN Rhodes (SA),1992-2003,240,50,5927,121,35.07,7322,80.94,2,33,12,14,4,0,0.0,1.71,0.0,0,0,103,103,0,0,103
65,Ramiz Raja (PAK),1985-1997,192,14,5736,119,32.4,9035,63.48,9,30,14,6,10,0,0.0,10.0,0.0,0,0,33,33,0,0,33
66,AD Mathews (SL),2008-2021,207,47,5705,139,41.34,6869,83.05,3,38,14,5034,3889,117,33.23,4.63,43.0,2,1,53,53,0,0,53
67,SR Watson (AUS),2002-2015,181,27,5659,185,41.0,6258,90.42,9,32,11,6286,5224,166,31.46,4.98,37.8,3,0,62,62,0,0,62
68,H Masakadza (ZIM),2001-2019,208,4,5658,178,27.73,7728,73.21,5,34,15,1832,1621,39,41.56,5.3,46.9,0,0,71,71,0,0,71
69,CL Hooper (WI),1987-2003,220,42,5657,113,35.57,7384,76.61,7,29,7,9531,6919,193,35.84,4.35,49.3,3,0,119,119,0,0,119
70,MN Samuels (WI),2000-2018,201,25,5581,133,33.41,7427,75.14,10,30,10,5049,4083,88,46.39,4.85,57.3,0,0,49,49,0,0,49
71,SK Raina (INDIA),2005-2018,217,33,5538,116,35.27,5942,93.2,5,36,14,2054,1749,36,48.58,5.1,57.0,0,0,97,97,0,0,97
72,WJ Cronje (SA),1992-2000,183,29,5521,112,38.6,7222,76.44,2,39,8,5237,3875,113,34.29,4.43,46.3,1,1,73,73,0,0,73
73,F du Plessis (SA),2011-2019,140,19,5507,185,47.47,6208,88.7,12,35,3,192,189,2,94.5,5.9,96.0,0,0,81,81,0,0,81
74,RR Sarwan (WI),2000-2013,167,29,5475,120,42.44,7203,76.0,5,36,8,581,586,16,36.62,6.05,36.3,0,0,44,44,0,0,44
75,Q de Kock (SA),2013-2022,122,3,5370,178,45.12,5589,96.08,16,26,4,0,0,0,0.0,0.0,0.0,0,0,184,173,11,173,0
76,DA Warner (AUS),2009-2020,123,5,5337,179,45.22,5577,95.69,18,22,2,6,8,0,0.0,8.0,0.0,0,0,54,54,0,0,54
77,IR Bell (ENG),2004-2015,155,11,5294,141,37.54,6869,77.07,4,34,5,88,88,6,14.66,6.0,14.6,0,0,54,54,0,0,54
78,A Jadeja (INDIA),1992-2000,186,33,5289,119,37.51,7562,69.94,6,30,10,1218,1065,19,56.05,5.24,64.1,0,0,58,58,0,0,58
79,MEK Hussey (AUS),2004-2012,179,44,5277,109,48.41,6070,86.93,3,38,3,240,235,2,117.5,5.87,120.0,0,0,103,103,0,0,103
80,DR Martyn (AUS),1992-2006,201,50,5238,144,41.24,6729,77.84,5,37,10,794,704,12,58.66,5.31,66.1,0,0,68,68,0,0,68
81,AJ Finch (AUS),2013-2020,126,3,5200,153,42.62,5862,88.7,17,29,11,284,259,4,64.75,5.47,71.0,0,0,61,61,0,0,61
82,ADR Campbell (ZIM),1992-2003,183,13,5121,131,30.66,7685,66.63,7,30,10,509,434,12,36.16,5.11,42.4,0,0,74,74,0,2,72
83,JP Duminy (SA),2004-2019,194,40,5117,150,37.07,6049,84.59,4,27,6,3513,3143,69,45.55,5.36,50.9,1,0,82,82,0,0,82
84,CG Greenidge (WI),1975-1991,126,12,5105,133,45.17,7842,65.09,11,31,3,60,45,1,45.0,4.5,60.0,0,0,45,45,0,0,45
85,RS Mahanama (SL),1986-1999,203,20,5079,119,29.52,8347,60.84,4,35,14,2,7,0,0.0,21.0,0.0,0,0,105,105,0,0,105
86,Misbah-ul-Haq (PAK),2002-2015,159,30,5072,96,43.35,6871,73.81,0,41,6,24,30,0,0.0,7.5,0.0,0,0,66,66,0,0,66
87,G Gambhir (INDIA),2003-2013,139,9,5052,150,39.16,5913,85.43,10,34,11,6,13,0,0.0,13.0,0.0,0,0,36,36,0,0,36
88,PD Collingwood (ENG),2001-2011,190,37,5041,120,35.5,6561,76.83,5,26,7,5102,4188,108,38.77,4.92,47.2,3,1,105,105,0,0,105
89,A Symonds (AUS),1998-2009,191,32,4990,156,40.24,5401,92.39,6,29,14,5887,4913,133,36.93,5.0,44.2,2,1,82,82,0,0,82
90,PR Stirling (IRE),2008-2022,128,2,4971,177,39.45,5677,87.56,12,26,10,2441,1942,43,45.16,4.77,56.7,1,1,52,52,0,0,52
91,Abdul Razzaq (Asia/PAK),1996-2011,259,57,4962,112,29.53,6144,80.76,3,22,14,10905,8536,268,31.85,4.69,40.6,8,3,35,35,0,0,35
92,CL Cairns (ICC/NZ),1991-2006,207,24,4911,115,29.4,5821,84.36,4,26,9,7937,6415,193,33.23,4.84,41.1,3,1,65,65,0,0,65
93,Aamer Sohail (PAK),1990-2000,153,5,4748,134,32.29,7234,65.63,5,31,10,4836,3703,85,43.56,4.59,56.8,1,0,49,49,0,0,49
94,MV Boucher (Afr/SA),1998-2011,286,57,4662,147,28.6,5496,84.82,1,26,16,0,0,0,0.0,0.0,0.0,0,0,417,395,22,394,1
95,AJ Stewart (ENG),1989-2003,164,14,4662,116,31.93,6815,68.4,4,28,13,0,0,0,0.0,0.0,0.0,0,0,169,154,15,145,9
96,MD Crowe (NZ),1982-1995,139,18,4632,107,38.6,6414,72.21,4,33,3,1296,954,29,32.89,4.41,44.6,0,0,65,65,0,0,65
