,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
0,SD Hope (WI),2019-2022,24,24,4,1185,115,59.25,1611,73.55,4,7,0,106,11,
1,PR Stirling (IRE),2020-2022,22,22,1,1009,142,48.04,1213,83.18,4,3,0,99,26,
2,V Kohli (INDIA),2019-2022,22,21,1,1007,120,50.35,1082,93.06,2,10,2,93,7,
3,KL Rahul (INDIA),2019-2022,18,18,2,881,112,55.06,906,97.24,3,6,0,63,26,
4,Aqib Ilyas (OMA),2019-2021,16,15,2,801,109*,61.61,993,80.66,2,5,0,77,8,
5,Tamim Iqbal (BAN),2019-2021,18,18,1,795,158,46.76,930,85.48,3,4,2,79,16,
6,S Dhawan (INDIA),2019-2022,18,16,1,794,98,52.93,874,90.84,0,8,0,100,6,
7,Babar Azam (PAK),2019-2021,11,11,1,772,158,77.2,723,106.77,4,2,1,81,14,
8,JN Malan (SA),2020-2022,14,13,2,759,177*,69.0,843,90.03,3,3,1,69,16,
9,A Balbirnie (IRE),2020-2022,21,21,1,720,113,36.0,943,76.35,2,5,0,74,7,
10,N Pooran (WI),2019-2022,25,23,5,711,89,39.5,712,99.85,0,6,1,65,24,
11,E Lewis (WI),2019-2021,17,17,3,706,103,50.42,838,84.24,2,5,1,68,24,
12,Q de Kock (SA),2020-2022,12,12,0,677,124,56.41,692,97.83,3,3,1,64,17,
13,AJ Finch (AUS),2020-2020,13,13,1,673,114,56.08,824,81.67,2,5,0,65,14,
14,HT Tector (IRE),2020-2022,20,20,4,670,79,41.87,909,73.7,0,7,2,49,11,
15,SS Iyer (INDIA),2019-2022,19,18,1,657,103,38.64,657,100.0,1,6,0,62,14,
16,Mushfiqur Rahim (BAN),2019-2021,14,14,3,656,125,59.63,818,80.19,1,5,0,43,4,
17,JM Bairstow (ENG),2020-2021,15,13,0,637,124,49.0,582,109.45,2,3,1,65,27,
18,WIA Fernando (SL),2019-2021,16,16,0,616,127,38.5,695,88.63,2,4,1,55,8,
19,RG Sharma (INDIA),2019-2022,13,12,0,607,159,50.58,639,94.99,2,2,0,76,13,
20,HE van der Dussen (SA),2020-2022,14,12,4,603,129*,75.37,604,99.83,2,3,0,47,11,
21,A Vala (PNG),2019-2021,16,16,0,569,104,35.56,773,73.6,1,2,1,43,11,
22,Jatinder Singh (OMA),2019-2022,22,21,0,568,107,27.04,708,80.22,2,2,0,57,16,
23,SPD Smith (AUS),2020-2020,10,9,0,568,131,63.11,533,106.56,3,2,0,55,9,
