,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
0,RG Sharma (INDIA),2019-2022,10,10,0,579,159,57.90,599,96.66,2,2,0,72,13,
1,KL Rahul (INDIA),2019-2021,9,9,1,508,108,63.50,523,97.13,2,3,0,40,13,
2,SD Hope (WI),2019-2022,7,7,3,459,109*,114.75,651,70.5,2,2,0,39,7,
3,V Kohli (INDIA),2019-2022,10,10,0,409,89,40.90,420,97.38,0,5,1,36,2,
4,S Dhawan (INDIA),2020-2021,6,5,0,339,98,67.80,360,94.16,0,4,0,43,4,
5,RR Pant (INDIA),2019-2022,7,7,0,311,78,44.42,235,132.34,0,3,0,23,17,
6,N Pooran (WI),2019-2022,7,7,2,307,89,61.40,248,123.79,0,3,0,32,13,
7,SPD Smith (AUS),2020-2020,3,2,0,229,131,114.50,234,97.86,1,1,0,23,2,
8,JM Bairstow (ENG),2021-2021,3,3,0,219,124,73.00,182,120.32,1,1,0,17,14,
9,SO Hetmyer (WI),2019-2019,6,6,0,217,139,36.16,203,106.89,1,0,1,15,10,
10,SS Iyer (INDIA),2019-2021,7,7,1,191,70,31.83,197,96.95,0,2,0,17,6,
11,RL Chase (WI),2019-2019,6,5,1,187,94,46.75,226,82.74,0,1,0,18,0,
12,AJ Finch (AUS),2020-2020,3,3,1,162,110*,81.00,188,86.17,1,0,0,17,3,
13,DA Warner (AUS),2020-2020,3,3,1,146,128*,73.00,131,111.45,1,0,0,19,3,
14,BA Stokes (ENG),2021-2021,3,3,0,135,99,45.00,102,132.35,0,1,0,8,11,
15,Asghar Afghan (AFG),2019-2019,3,3,0,124,86,41.33,145,85.51,0,1,0,4,7,
16,JJ Roy (ENG),2021-2021,3,3,0,115,55,38.33,93,123.65,0,1,0,17,2,
17,E Lewis (WI),2019-2019,5,5,0,113,54,22.60,171,66.08,0,1,0,14,1,
18,KA Pollard (WI),2019-2022,7,5,1,109,74*,27.25,84,129.76,0,1,2,4,9,
19,SM Curran (ENG),2021-2021,3,2,1,107,95*,107.00,103,103.88,0,1,0,10,3,
20,RA Jadeja (INDIA),2019-2020,6,5,3,105,39*,52.50,100,105.0,0,0,0,9,1,
21,Rahmat Shah (AFG),2019-2019,3,3,0,104,61,34.66,151,68.87,0,1,0,10,2,
22,M Labuschagne (AUS),2020-2020,3,2,0,100,54,50.00,111,90.09,0,1,0,9,0,
23,HH Pandya (INDIA),2021-2021,3,3,0,100,64,33.33,69,144.92,0,1,0,6,8,
24,KH Pandya (INDIA),2021-2021,3,3,2,95,58*,95.00,74,128.37,0,1,0,8,2,
25,Ikram Alikhil (AFG),2019-2019,3,3,0,86,58,28.66,127,67.71,0,1,0,8,1,
26,Najibullah Zadran (AFG),2019-2019,3,3,0,86,56,28.66,101,85.14,0,1,1,11,1,
27,JO Holder (WI),2019-2022,6,4,1,84,57,28.00,101,83.16,0,1,0,1,5,
28,Mohammad Nabi (AFG),2019-2019,3,3,1,83,50*,41.50,118,70.33,0,1,0,8,1,
29,Hazratullah Zazai (AFG),2019-2019,3,3,0,82,50,27.33,110,74.54,0,1,0,9,4,
30,DJ Malan (ENG),2021-2021,2,2,1,66,50,66.00,73,90.41,0,1,0,7,0,
31,KM Jadhav (INDIA),2019-2019,3,3,1,65,40,32.50,55,118.18,0,0,0,7,1,
32,LS Livingstone (ENG),2021-2021,2,2,1,63,36,63.00,52,121.15,0,0,0,5,3,
33,SN Thakur (INDIA),2019-2022,7,4,2,60,30,30.00,37,162.16,0,0,0,5,4,
34,MM Ali (ENG),2021-2021,3,2,0,59,30,29.50,62,95.16,0,0,0,4,3,
35,AT Carey (AUS),2020-2020,3,2,0,53,35,26.50,53,100.0,0,0,0,6,1,
36,BA King (WI),2019-2022,2,2,0,52,39,26.00,82,63.41,0,0,0,7,1,
37,KMA Paul (WI),2019-2019,4,1,0,46,46,46.00,42,109.52,0,0,0,4,3,
38,AC Agar (AUS),2020-2020,3,2,1,36,25,36.00,38,94.73,0,0,0,3,0,
39,SA Yadav (INDIA),2022-2022,1,1,1,34,34*,-,36,94.44,0,0,0,5,0,
40,FA Allen (WI),2022-2022,1,1,0,29,29,29.00,43,67.44,0,0,0,2,0,
41,Ishan Kishan (INDIA),2022-2022,1,1,0,28,28,28.00,36,77.77,0,0,0,2,1,
42,DJ Hooda (INDIA),2022-2022,1,1,1,26,26*,-,32,81.25,0,0,0,2,0,
43,KW Richardson (AUS),2020-2020,2,1,1,24,24*,-,11,218.18,0,0,0,4,1,
44,EJG Morgan (ENG),2021-2021,1,1,0,22,22,22.00,30,73.33,0,0,0,1,1,
45,K Pierre (WI),2019-2019,2,1,0,21,21,21.00,18,116.66,0,0,0,3,0,
46,AU Rashid (ENG),2021-2021,3,2,0,19,19,9.50,27,70.37,0,0,1,2,0,
47,SW Billings (ENG),2021-2021,1,1,0,18,18,18.00,22,81.81,0,0,0,1,0,
48,DM Bravo (WI),2022-2022,1,1,0,18,18,18.00,34,52.94,0,0,0,3,0,
49,JC Buttler (ENG),2021-2021,3,3,0,17,15,5.66,25,68.0,0,0,1,2,0,
