,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
0,MJ Guptill (NZ),2009-2021,110,107,7,3297,105,32.97,2409,136.86,2,20,3,287,165,
1,V Kohli (INDIA),2010-2021,92,87,25,3227,94*,52.04,2340,137.9,0,29,3,290,91,
2,RG Sharma (INDIA),2007-2021,117,110,14,3187,118,33.19,2271,140.33,4,26,7,284,149,
3,AJ Finch (AUS),2011-2021,81,81,9,2571,172,35.7,1745,147.33,2,15,6,256,111,
4,PR Stirling (IRE),2009-2021,90,90,8,2570,115*,31.34,1872,137.28,1,19,8,297,88,
5,Babar Azam (PAK),2016-2021,68,67,9,2561,122,44.15,1991,128.62,1,24,3,267,38,
6,DA Warner (AUS),2009-2021,86,86,9,2519,100*,32.71,1788,140.88,1,21,6,247,99,
7,Mohammad Hafeez (PAK),2006-2021,115,108,13,2514,99*,26.46,2060,122.03,0,14,7,251,76,
8,Shoaib Malik (ICC/PAK),2006-2021,123,111,33,2435,75,31.21,1938,125.64,0,9,2,196,69,
9,EJG Morgan (ENG),2009-2022,112,104,20,2399,91,28.55,1758,136.46,0,14,3,180,119,
10,JC Buttler (ENG),2011-2021,86,80,18,2140,101*,34.51,1516,141.16,1,15,4,184,90,
11,BB McCullum (NZ),2005-2015,69,69,10,2139,123,36.25,1561,137.02,2,13,3,199,91,
12,Mohammad Shahzad (AFG),2010-2021,70,70,3,2015,118*,30.07,1508,133.62,1,12,4,225,75,
13,KS Williamson (NZ),2011-2021,73,71,9,2004,95,32.32,1615,124.08,0,14,4,201,46,
14,Mahmudullah (BAN),2007-2021,111,105,23,1971,64*,24.03,1672,117.88,0,6,4,152,60,
15,KJ O'Brien (IRE),2008-2021,103,101,10,1956,124,21.49,1485,131.71,1,5,12,164,81,
16,JP Duminy (SA),2007-2019,80,74,25,1929,96*,39.36,1526,126.4,0,11,6,138,71,
17,LRPL Taylor (NZ),2006-2020,100,93,21,1905,63,26.45,1550,122.9,0,7,6,121,71,
