,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
0,Shakib Al Hasan (BAN),2006-2021,93,93,347.3,3,2316,117,5/20,19.79,6.66,17.8,5,1,
1,TG Southee (NZ),2008-2021,90,90,332.5,2,2729,111,5/18,24.58,8.19,17.9,1,1,
2,SL Malinga (SL),2006-2020,83,83,299.5,1,2225,107,5/6,20.79,7.42,16.8,1,2,
3,Rashid Khan (AFG/ICC),2015-2021,56,56,211.2,1,1312,103,5/3,12.73,6.2,12.3,4,2,
4,Shahid Afridi (ICC/PAK),2006-2018,99,97,361.2,4,2396,98,4/11,24.44,6.63,22.1,3,0,
5,Mustafizur Rahman (BAN),2015-2021,61,61,219.4,6,1678,86,5/22,19.51,7.63,15.3,3,1,
6,Saeed Ajmal (PAK),2009-2015,64,63,238.2,2,1516,85,4/19,17.83,6.36,16.8,4,0,
7,Umar Gul (PAK),2007-2016,60,60,200.3,2,1443,85,5/6,16.97,7.19,14.1,4,2,
8,IS Sodhi (NZ),2014-2021,64,64,226.3,0,1824,83,4/28,21.97,8.05,16.3,2,0,
9,AU Rashid (ENG),2009-2022,72,70,253.2,3,1840,81,4/2,22.71,7.26,18.7,2,0,
10,CJ Jordan (ENG),2014-2022,74,74,259.5,2,2250,80,4/6,28.12,8.65,19.4,2,0,
11,DJ Bravo (WI),2006-2021,85,75,247.1,0,2010,78,4/19,25.76,8.13,19.0,3,0,
12,GH Dockrell (IRE),2010-2021,80,71,224.2,1,1605,75,4/20,21.4,7.15,17.9,1,0,
13,Mohammad Nabi (AFG),2010-2021,86,85,281.4,5,2041,73,4/10,27.95,7.24,23.1,3,0,
14,Shadab Khan (PAK),2017-2021,59,58,218.3,3,1550,71,4/14,21.83,7.09,18.4,2,0,
15,BAW Mendis (SL),2008-2014,39,39,147.3,5,952,66,6/8,14.42,6.45,13.4,3,2,
16,MJ Santner (NZ),2015-2021,60,60,207.2,1,1503,66,4/11,22.77,7.24,18.8,2,0,
17,A Zampa (AUS),2016-2021,55,55,198.5,1,1345,65,5/19,20.69,6.76,18.3,0,1,
18,YS Chahal (INDIA),2016-2021,50,50,195.3,1,1620,64,6/25,25.31,8.28,18.3,2,1,
19,KMDN Kulasekara (SL),2008-2017,57,57,202.1,6,1517,64,4/31,23.7,7.5,18.9,2,0,
20,SCJ Broad (ENG),2006-2014,53,53,189.3,2,1431,63,4/24,22.71,7.55,18.0,1,0,
21,JJ Bumrah (INDIA),2016-2021,52,52,189.5,8,1244,63,3/11,19.74,6.55,18.0,0,0,
22,Imran Tahir (SA/World),2013-2019,38,38,140.5,0,948,63,5/23,15.04,6.73,13.4,2,2,
23,DW Steyn (SA),2007-2020,46,46,168.1,3,1165,63,4/9,18.49,6.92,16.0,2,0,
24,TA Boult (NZ),2013-2021,44,44,165.3,1,1345,62,4/34,21.69,8.12,16.0,1,0,
25,SM Sharif (SCOT),2012-2021,52,52,181.1,0,1470,61,4/24,24.09,8.11,17.8,2,0,
26,Mohammad Hafeez (PAK),2006-2021,115,76,207.1,3,1353,60,4/10,22.55,6.53,20.7,1,0,
27,R Ashwin (INDIA),2010-2021,50,50,188.0,2,1287,59,4/8,21.81,6.84,19.1,2,0,
28,Mohammad Amir (PAK),2009-2020,48,48,176.3,5,1240,59,4/13,21.01,7.02,17.9,1,0,
29,Hasan Ali (PAK),2016-2021,45,45,160.1,5,1344,58,4/18,23.17,8.39,16.5,1,0,
30,NL McCullum (NZ),2007-2016,62,59,187.1,0,1278,58,4/16,22.03,6.82,19.3,2,0,
31,PM Seelaar (NED),2008-2021,75,64,188.4,4,1290,58,4/19,22.24,6.83,19.5,1,0,
32,MA Starc (AUS),2012-2021,47,47,178.0,1,1339,58,3/11,23.08,7.52,18.4,0,0,
33,T Shamsi (SA),2017-2021,47,47,175.0,1,1181,57,4/25,20.71,6.74,18.4,2,0,
34,Bilal Khan (OMA),2015-2021,37,37,133.1,4,878,56,4/19,15.67,6.59,14.2,3,0,
35,KJ O'Brien (IRE),2008-2021,103,50,148.5,0,1108,56,4/45,19.78,7.44,15.9,1,0,
36,MRJ Watt (SCOT),2015-2021,45,45,167.0,2,1164,56,5/27,20.78,6.97,17.8,0,1,
37,S Badree (WI/World),2012-2018,50,50,187.0,4,1150,55,4/15,20.9,6.14,20.4,1,0,
38,Sohail Tanvir (PAK),2007-2017,57,57,202.2,3,1454,54,3/12,26.92,7.18,22.4,0,0,
39,RE van der Merwe (NED/SA),2009-2021,45,44,155.1,1,995,54,4/35,18.42,6.41,17.2,1,0,
40,Imad Wasim (PAK),2015-2021,56,56,200.0,3,1261,53,5/14,23.79,6.3,22.6,1,1,
41,WB Rankin (ENG/IRE),2009-2020,47,47,173.0,2,1183,53,3/16,22.32,6.83,19.5,0,0,
42,PWH de Silva (SL),2019-2021,32,31,114.4,0,713,52,4/9,13.71,6.21,13.2,1,0,
43,MR Adair (IRE),2019-2021,31,31,113.3,2,798,51,4/23,15.64,7.03,13.3,2,0,
44,SP Narine (WI),2012-2019,48,48,179.4,1,1084,51,4/12,21.25,6.03,21.1,1,0,
45,B Kumar (INDIA),2012-2021,53,53,187.5,3,1299,50,5/24,25.98,6.91,22.5,1,1,
46,GP Swann (ENG),2008-2012,36,36,130.0,4,824,50,3/13,16.48,6.33,15.6,0,0,
47,SO Ngoche (KENYA),2010-2021,40,40,139.0,2,903,49,4/14,18.42,6.49,17.0,2,0,
48,NLTC Perera (ICC/SL/World),2010-2021,83,66,180.4,1,1695,49,3/24,34.59,9.38,22.1,0,0,
49,K Rabada (SA),2014-2021,40,40,145.1,0,1245,49,3/20,25.4,8.57,17.7,0,0,
0,Rohan Mustafa (UAE),2014-2021,45,43,140.5,3,942,49,4/18,19.22,6.68,17.2,1,0,
1,PA van Meekeren (NED),2013-2021,44,44,150.1,2,1081,48,4/11,22.52,7.19,18.7,2,0,
2,SR Watson (AUS),2006-2016,57,49,155.0,2,1187,48,4/15,24.72,7.65,19.3,1,0,
3,S Lamichhane (ICC/NEPAL),2018-2021,25,25,91.5,3,615,47,4/20,13.08,6.69,11.7,2,0,
4,M Morkel (SA/World),2007-2017,43,43,156.4,3,1183,47,4/17,25.17,7.55,20.0,2,0,
5,AJ Tye (AUS),2016-2021,31,31,113.5,1,997,47,4/23,21.21,8.75,14.5,1,0,
6,Aizaz Khan (HKG),2014-2020,39,39,133.2,2,933,46,3/10,20.28,6.99,17.3,0,0,
7,RA Jadeja (INDIA),2009-2021,54,53,177.1,4,1242,46,3/15,27.0,7.01,23.1,0,0,
8,Iqbal Hussain (QAT),2019-2021,26,26,94.0,0,693,45,4/16,15.4,7.37,12.5,2,0,
9,Shaheen Shah Afridi (PAK),2018-2021,37,37,139.2,2,1092,45,3/20,24.26,7.83,18.5,0,0,
10,Abdur Razzak (BAN),2006-2014,33,33,121.4,4,838,44,4/16,19.04,6.88,16.5,1,0,
