,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Unnamed: 11
0,MS Dhoni (INDIA),2006-2019,96,96,89,56,33,56,0,5 (5ct 0st),0.927,
1,AB de Villiers (SA),2006-2017,77,77,72,65,7,21,44,4 (4ct 0st),0.935,
2,DA Miller (SA/World),2010-2021,95,95,71,70,1,1,69,4 (4ct 0st),0.747,
3,Mushfiqur Rahim (BAN),2006-2021,97,97,71,42,29,32,10,3 (1ct 2st),0.731,
4,Q de Kock (SA),2012-2021,61,61,64,49,15,49,0,4 (3ct 1st),1.049,
5,MJ Guptill (NZ),2009-2021,110,110,64,64,0,0,64,3 (3ct 0st),0.581,
6,D Ramdin (WI),2006-2019,69,69,62,42,20,42,0,4 (4ct 0st),0.898,
7,Kamran Akmal (PAK),2006-2017,58,58,60,28,32,28,0,4 (0ct 4st),1.034,
8,Mohammad Shahzad (AFG),2010-2021,70,70,58,30,28,30,0,5 (3ct 2st),0.828,
9,Umar Akmal (PAK),2009-2019,84,84,52,50,2,11,39,3 (3ct 0st),0.619,
10,Shoaib Malik (ICC/PAK),2006-2021,123,123,50,50,0,0,50,3 (3ct 0st),0.406,
11,JC Buttler (ENG),2011-2021,86,86,49,39,10,37,2,3 (3ct 0st),0.569,
12,Mohammad Nabi (AFG),2010-2021,86,86,47,47,0,0,47,3 (3ct 0st),0.546,
13,TG Southee (NZ),2008-2021,90,90,47,47,0,0,47,2 (2ct 0st),0.522,
14,DA Warner (AUS),2009-2021,86,86,47,47,0,0,47,3 (3ct 0st),0.546,
15,EJG Morgan (ENG),2009-2022,112,112,46,46,0,0,46,3 (3ct 0st),0.41,
16,Sarfaraz Ahmed (PAK),2010-2021,61,61,46,36,10,36,0,3 (3ct 0st),0.754,
17,LRPL Taylor (NZ),2006-2020,100,100,46,46,0,0,46,3 (3ct 0st),0.46,
18,GC Wilson (IRE),2008-2020,76,76,46,39,7,29,10,4 (3ct 1st),0.605,
19,MH Cross (SCOT),2013-2021,54,54,45,31,14,31,0,4 (3ct 1st),0.833,
20,RG Sharma (INDIA),2007-2021,117,117,45,45,0,0,45,3 (3ct 0st),0.384,
21,JM Bairstow (ENG),2011-2021,61,61,44,43,1,12,31,2 (2ct 0st),0.721,
22,DJ Bravo (WI),2006-2021,85,85,44,44,0,0,44,3 (3ct 0st),0.517,
23,BB McCullum (NZ),2005-2015,69,69,43,35,8,24,11,3 (3ct 0st),0.623,
24,KC Sangakkara (SL),2006-2014,55,55,43,23,20,23,0,3 (2ct 1st),0.781,
25,SK Raina (INDIA),2006-2018,78,78,42,42,0,0,42,3 (3ct 0st),0.538,
26,GH Dockrell (IRE),2010-2021,80,80,41,41,0,0,41,3 (3ct 0st),0.512,
27,V Kohli (INDIA),2010-2021,92,92,41,41,0,0,41,3 (3ct 0st),0.445,
28,Mahmudullah (BAN),2007-2021,111,111,41,41,0,0,41,3 (3ct 0st),0.369,
29,CJ Jordan (ENG),2014-2022,74,74,40,40,0,0,40,3 (3ct 0st),0.54,
